"CVEGEO","mean_temp_c","min_temp_c","max_temp_c","annual_prec_mm"
"14038",1.95673611561457,0.620758337775866,3.21773332754771,1037.375
"14040",2.37226306296684,1.02414054226231,3.67033514589877,881.081081081081
"14042",1.84821069423969,0.315805126764835,3.24935386364277,617.74358974359
"14043",2.49737114064834,1.35414571668587,3.35830159841799,1204.82352941176
"14047",2.00063333511353,0.709650003910065,3.20770001411438,773
"14048",1.76680415868759,0.375274999439716,3.08374999761581,777.96875
"14049",2.45717733001709,1.33528533681234,3.59094398752848,839.613333333333
"14053",1.6825645160675,0.32164285838604,2.95862857001168,560.064285714286
"14061",1.90709053000359,0.517471233214418,3.20715342482475,767.328767123288
"14064",1.6161134489121,0.25872258024831,2.90134193051246,482.387096774194
"14065",2.33459600780321,1.25623477852863,3.3331913077313,887.347826086957
"14066",1.94002975736346,0.751114293507167,3.06914285932268,823.357142857143
"14067",2.29123639893114,1.14189885541012,3.17637740352698,1330.21052631579
"14071",2.15036875406901,0.767049994071325,3.48088335990906,832.291666666667
"14076",2.11390560773703,0.785692304372787,3.41689230845525,839.480769230769
"14080",2.07589009818384,0.854840678683782,3.13730846986932,1234.47457627119
"14087",2.0423149692769,0.925804087580467,3.05819591210813,939.897959183673
"14091",1.80110939689305,0.202704347216565,3.2128173828125,653.217391304348
"14096",1.90822406344944,0.741822216245863,3.07791112263997,837
"14100",2.42597943791803,1.28629483156984,3.25421496097397,1053.84905660377
"14103",1.76887360413869,0.640033331761758,2.77103327115377,1041.25
"14116",1.68607390445212,0.293321740108988,2.98737392425537,643.869565217391
"14118",1.81274166447776,0.401171428816659,3.14205712590899,789.178571428571
"14014",1.98744650389019,0.694084212654515,3.23326313621119,770.736842105263
"14004",1.79625716890608,0.568342855998448,2.97337139674595,829.714285714286
"14007",2.06852579983798,0.61607271974737,3.45527277859775,850.818181818182
"14008",1.76797991772087,0.322342858022573,3.12601630930998,796.204081632653
"14009",2.10370952061244,0.628114284787859,3.5313714163644,659.142857142857
"14011",1.76646790327849,0.402400003539191,3.06699256896973,1018.81481481481
"14012",1.63260487812321,0.335756098933336,2.84324876738758,1244.73170731707
"14015",2.09449611663818,0.834080011049906,3.22424001693726,1030.3
"14016",1.95310631706601,0.564228574434916,3.26737140473865,807.142857142857
